DT_YEAR_COLLISION,DT_MONTH_COLLISION,DT_TIME,CD_NIS,TX_RGN_COLLISION_FR,TX_RGN_COLLISION_NL,TX_PROV_COLLISION_FR,TX_PROV_COLLISION_NL,TX_MUNTY_COLLISION_FR,TX_MUNTY_COLLISION_NL,MS_X_COORD,MS_Y_COORD,CD_CROSSWAY,TX_CROSSWAY_FR,TX_CROSSWAY_NL,CD_WEATHER,TX_WEATHER_FR,TX_WEATHER_NL,CD_ROAD_CONDITION,TX_ROAD_CONDITION_FR,TX_ROAD_CONDITION_NL,CD_BUILD_UP_AREA,TX_BUILD_UP_AREA_FR,TX_BUILD_UP_AREA_NL,CD_LIGHT_CONDITION,TX_LIGHT_CONDITION_FR,TX_LIGHT_CONDITION_NL,CD_ROAD_TYPE,CD_ROAD_TYPE_FR,CD_ROAD_TYPE_NL,CD_CLASS_ACCIDENTS,TX_CLASS_ACCIDENTS_FR,TX_CLASS_ACCIDENTS_NL,CD_ROAD_USR_TYPE1,TX_ROAD_USR_TYPE1_FR,TX_ROAD_USR_TYPE1_NL,CD_ROAD_USR_TYPE2,TX_ROAD_USR_TYPE2_FR,TX_ROAD_USR_TYPE2_NL,CD_COLLISION_TYPE,TX_COLLISON_TYPE_FR,TX_COLLISION_TYPE_NL,CD_OBSTACLES,TX_OBSTACLES_FR,TX_OBSTACLES_NL,LAT,LON
2024,01,22,11002,Région flamande,Vlaams Gewest,Province d’Anvers,Provincie Antwerpen,Anvers,Antwerpen,155523.558395,212786.942249,2,Hors carrefour,Buiten Kruispunt,1,Normales,Normaal,2,Humide, mouillé, flaques,Nat, plassen,2,Hors agglomération,buiten bebouwde kom,3,Nuit, éclairage public présent et allumé,Nacht, openbare verlichting aanwezig en ontstoken,1,Autoroute,Autosnelweg,4,Avec blessé(s) leger(s),met lichtgewonden,09,Voiture,personenauto,04,Camion,Vrachtwagen,A,51.224996,4.447825
2024,01,04,11002,Région flamande,Vlaams Gewest,Province d’Anvers,Provincie Antwerpen,Anvers,Antwerpen,154542.583884,209513.679542,2,Hors carrefour,Buiten Kruispunt,1,Normales,Normaal,1,Sec,Droog,2,Hors agglomération,buiten bebouwde kom,3,Nuit, éclairage public présent et allumé,Nacht, openbare verlichting aanwezig en ontstoken,1,Autoroute,Autosnelweg,4,Avec blessé(s) leger(s),met lichtgewonden,09,Voiture,personenauto,11,usager/obstacle,een weggebruiker tegen een hindernis,7,Usager contre obstacle situé hors chaussée,Weggebruiker tegen hindernis buiten rijbaan,63,51.195583,4.433741
2024,01,19,11008,Région flamande,Vlaams Gewest,Province d’Anvers,Provincie Antwerpen,Brasschaat,Brasschaat,162904.702812,221954.689916,2,Hors carrefour,Buiten Kruispunt,1,Normales,Normaal,1,Sec,Droog,2,Hors agglomération,buiten bebouwde kom,3,Nuit, éclairage public présent et allumé,Nacht, openbare verlichting aanwezig en ontstoken,1,Autoroute,Autosnelweg,3,Avec blessé(s) grave(s),met zwaargewonden,07,Motocyclette,Motorfiets,11,usager/obstacle,een weggebruiker tegen een hindernis,7,Usager contre obstacle situé hors chaussée,Weggebruiker tegen hindernis buiten rijbaan,61,51.307279,4.553811
2024,01,12,11035,Région flamande,Vlaams Gewest,Province d’Anvers,Provincie Antwerpen,Ranst,Ranst,166950.274150,209599.721576,2,Hors carrefour,Buiten Kruispunt,1,Normales,Normaal,1,Sec,Droog,2,Hors agglomération,buiten bebouwde kom,1,Jour,Dag,1,Autoroute,Autosnelweg,4,Avec blessé(s) leger(s),met lichtgewonden,09,Voiture,personenauto,09,Voiture,personenauto,3,Entre 2 conducteurs: Par l'arrière,Tussen 2 bestuurders: Langs achteren,0,Pas d’obstacle,Geen hindernis,51.196124,4.611243
2024,01,02,11035,Région flamande,Vlaams Gewest,Province d’Anvers,Provincie Antwerpen,Ranst,Ranst,,,2,Hors carrefour,Buiten Kruispunt,1,Normales,Normaal,1,Sec,Droog,2,Hors agglomération,buiten bebouwde kom,3,Nuit, éclairage public présent et allumé,Nacht, openbare verlichting aanwezig en ontstoken,1,Autoroute,Autosnelweg,4,Avec blessé(s) leger(s),met lichtgewonden,09,Voiture,personenauto,11,usager/obstacle,een weggebruiker tegen een hindernis,7,Usager contre obstacle situé hors chaussée,Weggebruiker tegen hindernis buiten rijbaan,66,,
2024,01,11,11002,Région flamande,Vlaams Gewest,Province d’Anvers,Provincie Antwerpen,Anvers,Antwerpen,152354.089790,220578.663207,2,Hors carrefour,Buiten Kruispunt,1,Normales,Normaal,2,Humide, mouillé, flaques,Nat, plassen,2,Hors agglomération,buiten bebouwde kom,1,Jour,Dag,1,Autoroute,Autosnelweg,4,Avec blessé(s) leger(s),met lichtgewonden,09,Voiture,personenauto,09,Voiture,personenauto,4,Entre 2 conducteurs: Par le côté (avant/derrière-flanc),Tss. 2 best.: langs opzij (voor-/achterkant-flank),51.295051,4.402507
2024,01,21,11037,Région flamande,Vlaams Gewest,Province d’Anvers,Provincie Antwerpen,Rumst,Rumst,155113.032595,197491.882454,2,Hors carrefour,Buiten Kruispunt,2,Pluie,Regenval,2,Humide, mouillé, flaques,Nat, plassen,2,Hors agglomération,buiten bebouwde kom,3,Nuit, éclairage public présent et allumé,Nacht, openbare verlichting aanwezig en ontstoken,1,Autoroute,Autosnelweg,4,Avec blessé(s) leger(s),met lichtgewonden,09,Voiture,personenauto,11,usager/obstacle,een weggebruiker tegen een hindernis,7,51.087518,4.441731
2024,01,10,11009,Région flamande,Vlaams Gewest,Province d’Anvers,Provincie Antwerpen,Brecht,Brecht,164644.297251,223303.761535,2,Hors carrefour,Buiten Kruispunt,1,Normales,Normaal,1,Sec,Droog,2,Hors agglomération,buiten bebouwde kom,1,Jour,Dag,1,Autoroute,Autosnelweg,3,Avec blessé(s) grave(s),met zwaargewonden,09,Voiture,personenauto,09,Voiture,personenauto,3,Entre 2 conducteurs: Par l'arrière,Tussen 2 bestuurders: Langs achteren,0,Pas d’obstacle,Geen hindernis,51.319362,4.578811
2024,01,16,12041,Région flamande,Vlaams Gewest,Province d’Anvers,Provincie Antwerpen,Puurs-Sint-Amands,Puurs-Sint-Amands,148738.344129,196767.835140,2,Hors carrefour,Buiten Kruispunt,2,Pluie,Regenval,2,Humide, mouillé, flaques,Nat, plassen,2,Hors agglomération,buiten bebouwde kom,1,Jour,Dag,1,Autoroute,Autosnelweg,3,Avec blessé(s) grave(s),met zwaargewonden,09,Voiture,personenauto,11,usager/obstacle,een weggebruiker tegen een hindernis,7,Usager contre obstacle situé hors chaussée,Weggebruiker tegen hindernis buiten rijbaan,51.081032,4.350751
2024,01,08,12040,Région flamande,Vlaams Gewest,Province d’Anvers,Provincie Antwerpen,Willebroek,Willebroek,146856.214383,190942.736129,2,Hors carrefour,Buiten Kruispunt,1,Normales,Normaal,2,Humide, mouillé, flaques,Nat, plassen,2,Hors agglomération,buiten bebouwde kom,3,Nuit, éclairage public présent et allumé,Nacht, openbare verlichting aanwezig en ontstoken,1,Autoroute,Autosnelweg,1,Avec tué(s),Met doden,09,Voiture,personenauto,08,Piéton,Voetganger,5,51.028663,4.323942
