iter	RMSE	Tweedie:variance_power=1.5
153	217.9528127	40.42294159
154	217.9439118	40.32610811
155	217.935291	40.23633417
156	217.926782	40.14775932
157	217.9183276	40.06145079
158	217.9100269	39.97681033
159	217.9018594	39.89654299
160	217.8939468	39.8212699
161	217.8862578	39.74884739
162	217.8786072	39.67613733
163	217.8709547	39.60574876
164	217.8633725	39.53688389
165	217.8559701	39.47111837
166	217.8487045	39.40875484
167	217.8416457	39.34913609
168	217.8345793	39.28903434
169	217.8275877	39.23133026
170	217.8207557	39.17586667
171	217.8141136	39.12313144
172	217.8074697	39.07027951
173	217.8009282	39.01924788
174	217.7945811	38.97248995
175	217.7883832	38.92728932
176	217.782233	38.88349895
177	217.7762633	38.84283947
178	217.7702689	38.80176772
179	217.7643503	38.76049986
180	217.7586548	38.72247662
181	217.7530375	38.68459782
182	217.7475609	38.65039276
183	217.7421425	38.61559081
184	217.7369853	38.58410777
185	217.731854	38.55365918
186	217.7267355	38.52353564
187	217.7216986	38.49401063
188	217.7167615	38.46548197
189	217.7123543	38.44212254
190	217.7075262	38.41480684
191	217.7028911	38.39075257
192	217.6983408	38.36649495
193	217.6937226	38.341218
194	217.6892588	38.31856945
195	217.6848589	38.29577833
196	217.680577	38.27454205
197	217.6763591	38.25429568
198	217.6722518	38.2344206
199	217.6681789	38.21472112
200	217.6643425	38.19802775
201	217.6604102	38.17953225
202	217.6565855	38.16228012
203	217.6528723	38.14583157
204	217.6492194	38.13063434
205	217.6456176	38.11539566
206	217.6421444	38.10144201
207	217.638792	38.08764117
208	217.635381	38.073581
209	217.6320152	38.06051938
210	217.6287165	38.0475195
211	217.6255421	38.03608356
212	217.6224102	38.02459371
213	217.6192992	38.01295817
214	217.6161751	38.00047647
215	217.6132143	37.99033362
216	217.6102714	37.97984286
217	217.6073088	37.9691383
218	217.6044243	37.9591353
219	217.6016351	37.94964067
220	217.5989334	37.94065774
221	217.596179	37.93093684
222	217.5935757	37.92317214
223	217.5909778	37.91516294
224	217.5884409	37.90698793
225	217.5860382	37.90029179
226	217.5835749	37.89240599
227	217.5811678	37.8851532
228	217.5787548	37.87743098
229	217.5764377	37.87089102
230	217.5741636	37.86456157
231	217.5719595	37.85825668
232	217.569721	37.85186326
233	217.5675461	37.84542712
234	217.5654249	37.83955798
235	217.5633554	37.83404215
236	217.5613463	37.8290968
237	217.5593715	37.82404961
238	217.5573808	37.81866424
239	217.5554523	37.81403702
240	217.5535047	37.80884502
241	217.5516096	37.80365309
242	217.5498009	37.79929695
243	217.5480702	37.79567862
244	217.5463773	37.79207762
245	217.5446289	37.78726534
246	217.5429031	37.78259562
247	217.5412716	37.77910988
248	217.5396458	37.77560262
249	217.538058	37.77207097
250	217.5364686	37.76815038
251	217.5349026	37.76429328
252	217.5334101	37.76144484
253	217.531933	37.75789785
254	217.5304833	37.75474499
255	217.5290593	37.75184167
256	217.5276192	37.74866427
257	217.5262218	37.74549706
258	217.5248484	37.74238556
259	217.5234947	37.73932803
260	217.522178	37.73642468
261	217.520944	37.73401012
262	217.5196535	37.73103457
263	217.5184648	37.72918124
264	217.5172527	37.72697706
265	217.5160403	37.72431201
266	217.5148699	37.7217736
267	217.5137364	37.71961323
268	217.5125852	37.71707753
269	217.5114784	37.71486227
270	217.510389	37.71234713
271	217.5093198	37.71024642
272	217.5082643	37.70838632
273	217.5072696	37.70693739
274	217.5062761	37.70492789
275	217.5052853	37.70316624
276	217.5042929	37.70104144
277	217.5033597	37.6992416
278	217.502407	37.69726459
279	217.5015076	37.69577576
280	217.5005862	37.6941156
281	217.4997051	37.69237097
282	217.4988281	37.69075521
283	217.4979799	37.6892477
284	217.497151	37.68791164
285	217.4963418	37.6865554
286	217.4955335	37.68505001
287	217.4947292	37.68365686
288	217.4939318	37.68184341
289	217.4931699	37.68066606
290	217.4924293	37.67939296
291	217.4916995	37.67806765
292	217.4909779	37.67680528
293	217.4902731	37.67566532
294	217.4895866	37.67433722
295	217.4889081	37.67317747
296	217.4882461	37.67203985
297	217.4875756	37.67083212
298	217.4869339	37.66984117
299	217.4863272	37.66921837
300	217.4856968	37.66782447
301	217.4850845	37.66679053
302	217.4844814	37.66555703
303	217.4838856	37.6641901
304	217.483293	37.663196
305	217.4827215	37.66226189
306	217.4821807	37.66139469
307	217.4816326	37.66026904
308	217.4810824	37.65899576
309	217.4805504	37.65787427
310	217.4800414	37.65692541
311	217.4795333	37.6560401
312	217.4790434	37.65524656
313	217.4785618	37.65423541
314	217.4780861	37.65319545
315	217.4775999	37.65219405
316	217.4771208	37.65128183
317	217.476644	37.65032931
318	217.4761966	37.64947138
319	217.4757631	37.64861972
320	217.4753254	37.64776372
321	217.4749099	37.64688401
322	217.4744992	37.64615217
323	217.4740999	37.64527786
324	217.4737047	37.64451004
325	217.4733065	37.64365022
326	217.4729137	37.6428094
327	217.4725418	37.64200557
328	217.472173	37.64123292
329	217.4718119	37.6404802
330	217.4714598	37.63976699
331	217.4711223	37.63900719
332	217.47079	37.63829248
333	217.4704659	37.63749677
334	217.4701352	37.6367713
335	217.4697835	37.63607636
336	217.4694726	37.63549429
337	217.4691672	37.63485655
338	217.4688645	37.63418281
339	217.4685523	37.633575
340	217.4682593	37.63296277
341	217.4679682	37.63223867
342	217.4676894	37.63169102
343	217.4674069	37.63096741
344	217.4671395	37.63041589
345	217.4668663	37.62986181
346	217.466613	37.62928563
347	217.4663543	37.62865636
348	217.4660991	37.62802895
349	217.4658473	37.62745572
350	217.4655991	37.6268643
351	217.4653589	37.62624187
352	217.465123	37.62573704
353	217.4648959	37.62523597
354	217.4646737	37.62470433
355	217.4644535	37.62421345
356	217.4642427	37.6237249
357	217.4640312	37.62318982
358	217.4638255	37.62269202
359	217.4636209	37.62226839
360	217.4634197	37.62182712
361	217.4632311	37.62144354
362	217.463045	37.62101997
363	217.4628519	37.62061105
364	217.4626717	37.62026427
365	217.4624948	37.61986742
366	217.4623114	37.61945765
367	217.4621387	37.61899415
368	217.4619641	37.61858383
369	217.4618012	37.61815173
370	217.461638	37.61779878
371	217.461479	37.61741531
372	217.461313	37.61704592
373	217.4611569	37.61658583
374	217.461003	37.61622633
375	217.4608511	37.6158359
376	217.4606984	37.61539473
377	217.460554	37.61502779
378	217.460418	37.61470558
379	217.4602825	37.6143373
380	217.4601405	37.61393211
381	217.4599886	37.61360888
382	217.4598571	37.61330923
383	217.4597355	37.61299164
384	217.4596139	37.61268191
385	217.4594975	37.61234766
386	217.4593837	37.61203633
387	217.4592619	37.61176058
388	217.4591307	37.61144122
389	217.4590147	37.6112042
390	217.4588985	37.61089952
391	217.4587979	37.61052465
392	217.4586869	37.61020701
393	217.4585859	37.60987345
394	217.4584828	37.60958438
395	217.4583854	37.60934731
396	217.4582826	37.60905156
397	217.4581826	37.60874496
398	217.4580877	37.60846938
399	217.4579891	37.60818061
400	217.4579007	37.6079505
401	217.4578051	37.60772302
402	217.4577178	37.60746353
403	217.4576294	37.60723743
404	217.4575423	37.60699017
405	217.4574511	37.60677136
406	217.4573747	37.60652693
407	217.4572811	37.60631313
408	217.4572011	37.60605968
409	217.4571251	37.60586082
410	217.4570456	37.6056708
411	217.4569748	37.60544964
412	217.4568991	37.60517177
413	217.4568196	37.60494381
414	217.4567523	37.60468564
415	217.4566815	37.60450262
416	217.4566161	37.60433875
417	217.4565467	37.60413362
418	217.4564838	37.60394739
419	217.4564175	37.60374537
420	217.4563555	37.60358758
421	217.4562977	37.60341814
422	217.4562392	37.60324084
423	217.4561866	37.60306593
424	217.4561329	37.60287605
425	217.4560977	37.6027245
426	217.4560455	37.60255805
427	217.4559923	37.60236543
428	217.4559385	37.6021837
429	217.4558924	37.60205392
430	217.4558402	37.60187982
431	217.4557839	37.60171755
432	217.4557308	37.60155531
433	217.455684	37.60140245
434	217.4556286	37.60123912
435	217.4555936	37.60111081
436	217.4555475	37.60096066
437	217.4555076	37.60080179
438	217.4554575	37.60066805
439	217.455414	37.60051185
440	217.455376	37.60035908
441	217.4553318	37.60024732
442	217.455287	37.60011313
443	217.4552489	37.59998715
444	217.4552072	37.59982751
445	217.4551664	37.59971853
446	217.4551208	37.59957215
447	217.4550799	37.59943896
448	217.4550382	37.59931125
449	217.4550105	37.59922961
450	217.4549859	37.59915198
451	217.4549413	37.59902257
452	217.4549107	37.59891369
453	217.4548818	37.59882596
454	217.4548542	37.5987298
455	217.45482	37.59861597
456	217.4547867	37.59849659
457	217.4547665	37.598393
458	217.4547398	37.59829247
459	217.4547274	37.59822154
460	217.4547096	37.59814816
461	217.4546926	37.59807874
462	217.4546592	37.59798063
463	217.4546421	37.59791222
464	217.4546086	37.59780274
465	217.4545919	37.59773313
466	217.4545627	37.59762469
467	217.4545525	37.59756298
468	217.4545271	37.59746473
469	217.4545082	37.59737658
470	217.4544955	37.59731153
471	217.4544644	37.59722157
472	217.454437	37.59712031
473	217.4544055	37.59702381
474	217.4543765	37.59691459
475	217.4543581	37.59684877
476	217.4543523	37.59678867
477	217.4543325	37.59672553
478	217.4543004	37.59662746
479	217.4542904	37.59656864
480	217.4542818	37.59652049
481	217.4542739	37.59647451
482	217.4542677	37.59641818
483	217.4542564	37.59635909
484	217.4542451	37.59630468
485	217.4542354	37.59625018
486	217.45422	37.59619837
487	217.4542115	37.59614486
488	217.4541912	37.59604602
489	217.4541851	37.59600553
490	217.4541746	37.59595167
491	217.4541643	37.59590189
492	217.4541421	37.59577396
493	217.4541275	37.59572198
494	217.4541229	37.59568331
495	217.4541127	37.59563402
496	217.4541048	37.59558605
497	217.4540979	37.59552786
498	217.4540878	37.59548712
499	217.4540618	37.59539634
500	217.4540496	37.59534522
501	217.4540467	37.59529642
502	217.4540395	37.59526669
503	217.4540346	37.59522285
504	217.4540324	37.59517895
505	217.4540265	37.59513952
506	217.4540154	37.59509617
507	217.4540133	37.59505455
